evidence_status,batch_id,task_id,task_type,dataset_version,eval_version,presentation_order,candidate_a,candidate_b,preference,judge_id,reason_code,adjudication_required,disclaimer
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-001,opening_quality,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,B,DEMO-JUDGE-01,stronger_hook,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-002,character_consistency,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,A,DEMO-JUDGE-01,consistent_agency,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-003,evidence_chain,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,B,DEMO-JUDGE-01,better_grounding,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-004,conflict_escalation,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,tie,DEMO-JUDGE-01,equivalent_quality,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-005,costly_resolution,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,B,DEMO-JUDGE-01,credible_cost,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-006,opening_quality,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,A,DEMO-JUDGE-01,stronger_hook,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-007,character_consistency,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,abstain,DEMO-JUDGE-01,insufficient_context,true,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-008,evidence_chain,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,A,DEMO-JUDGE-01,better_grounding,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-009,conflict_escalation,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,A,DEMO-JUDGE-01,causal_escalation,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-010,costly_resolution,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,B,DEMO-JUDGE-01,credible_cost,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-011,opening_quality,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,baseline_first,baseline,candidate,A,DEMO-JUDGE-01,more_concise,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
DEMO,DEMO-BASELINE-BLIND-001,DEMO-EVAL-012,character_consistency,novel-demo-data-v0.1.0,novel-gold-demo-v0.1.0,candidate_first,candidate,baseline,B,DEMO-JUDGE-01,consistent_agency,false,"SYNTHETIC DEMO; NOT A REAL BLIND TEST"
